0	0.189808
1	0.376483
2	0.820705
3	0.947413
4	1.11522
5	1.39238
6	1.41909
7	1.61891
8	1.93384
9	2.30361
10	2.41676
11	2.59126
12	2.61134
13	2.96971
14	3.11594
15	3.29755
16	3.56266
17	3.62212
18	3.90473
19	4.05971
20	4.41458
21	4.42388
22	4.78998
23	4.85597
24	5.11719
25	5.18196
26	5.52111
27	5.58533
28	5.86992
29	5.9702
30	6.3743
31	6.52147
32	6.58233
33	6.80888
34	7.00611
35	7.29386
36	7.57925
37	7.80998
38	8.11659
39	8.26278
40	8.29685
41	8.55725
42	8.74848
43	8.79062
44	9.11615
45	9.46082
46	9.49766
47	9.69922
48	10.0123
49	10.1065
50	10.3631
51	10.6135
52	10.4387
53	10.9627
54	11.2238
55	11.1763
56	11.451
57	11.5888
58	11.8139
59	12.0702
60	12.264
61	12.4701
62	12.5484
63	12.9558
64	12.9875
65	13.3224
66	13.3616
67	13.5736
68	13.9168
69	13.9831
70	14.2526
71	14.4566
72	14.8802
73	14.942
74	14.9934
75	15.4929
76	15.4389
77	15.8157
78	15.8943
79	15.9562
80	16.4788
81	16.3788
82	16.5778
83	16.8619
84	17.0714
85	17.2716
86	17.4463
87	17.727
88	17.8966
89	18.1556
90	18.3489
91	18.4954
92	18.7496
93	18.9342
94	19.0613
95	19.382
96	19.6203
97	19.7705
98	19.7983
99	20.2641
